Timestamp;phi;thetab;spin_rad
1480000;-1.776762E-002;4.789233E-005;-9.230384E-003
1496000;-1.779843E-002;1.755357E-005;-9.230384E-003
1512000;-1.783454E-002;-5.379319E-005;-9.230384E-003
1528000;-1.785609E-002;-8.788705E-005;-9.230384E-003
1544000;-1.786256E-002;-1.348257E-004;-9.230384E-003
1560000;-1.791007E-002;-2.209842E-004;-9.230384E-003
1576000;-1.793238E-002;-3.004074E-004;-9.230384E-003
1592000;-1.795093E-002;-3.719926E-004;-9.230384E-003
1607000;-1.797065E-002;-4.397035E-004;-9.230384E-003
1622000;-1.797017E-002;-5.413294E-004;-9.230384E-003
1637000;-1.799172E-002;-6.373227E-004;-9.230384E-003
1652000;-1.799134E-002;-7.144809E-004;-9.230384E-003
1667000;-1.799092E-002;-7.924139E-004;-9.230384E-003
1684000;-1.799032E-002;-8.593798E-004;-9.230384E-003
1699000;-1.800490E-002;-9.180307E-004;-9.230384E-003
1715000;-1.801141E-002;-9.695292E-004;-9.230384E-003
1731000;-1.802019E-002;-1.023650E-003;-9.230384E-003
1747000;-1.801667E-002;-1.092255E-003;-9.230384E-003
1762000;-1.803055E-002;-1.156598E-003;-9.230384E-003
1777000;-1.801207E-002;-1.234680E-003;-9.230384E-003
1792000;-1.801514E-002;-1.295745E-003;-9.230384E-003
1808000;-1.801748E-002;-1.384079E-003;-9.230384E-003
1823000;-1.804314E-002;-1.472920E-003;-9.230384E-003
1838000;-1.804218E-002;-1.576811E-003;-9.230384E-003
1853000;-1.804730E-002;-1.667738E-003;-9.230384E-003
1868000;-1.805234E-002;-1.767397E-003;-9.230384E-003
1883000;-1.806570E-002;-1.814902E-003;-9.230384E-003
1898000;-1.807599E-002;-1.872987E-003;-9.230384E-003
1914000;-1.809196E-002;-1.942843E-003;-9.230384E-003
1929000;-1.811567E-002;-2.005994E-003;-9.230384E-003
1945000;-1.813228E-002;-2.087712E-003;-9.230384E-003
1961000;-1.815015E-002;-2.191544E-003;-9.230384E-003
1976000;-1.816096E-002;-2.290845E-003;-9.230384E-003
1991000;-1.818186E-002;-2.357692E-003;-9.230384E-003
2007000;-1.822104E-002;-2.414823E-003;-9.230384E-003
2022000;-1.824608E-002;-2.520531E-003;-9.230384E-003
2038000;-1.826195E-002;-2.593279E-003;-9.230384E-003
2054000;-1.828163E-002;-2.680391E-003;-9.230384E-003
2069000;-1.829927E-002;-2.779275E-003;-9.230384E-003
2084000;-1.834931E-002;-2.824217E-003;-9.230384E-003
2099000;-1.839671E-002;-2.904147E-003;-9.230384E-003
2114000;-1.843651E-002;-3.015578E-003;-9.230384E-003
2129000;-1.848747E-002;-3.127962E-003;-9.230384E-003
2144000;-1.852296E-002;-3.269494E-003;-9.230384E-003
2160000;-1.855995E-002;-3.344327E-003;-9.230384E-003
2176000;-1.860187E-002;-3.471076E-003;-9.230384E-003
2191000;-1.865682E-002;-3.573626E-003;-9.230384E-003
2207000;-1.868319E-002;-3.649861E-003;-9.230384E-003
2222000;-1.873511E-002;-3.760099E-003;-9.230384E-003
2237000;-1.878985E-002;-3.844976E-003;-9.230384E-003
2253000;-1.883845E-002;-3.965944E-003;-9.230384E-003
2273000;-1.889596E-002;-4.159957E-003;-9.230384E-003
2294000;-1.896458E-002;-4.288554E-003;-9.230384E-003
2314000;-1.902152E-002;-4.461437E-003;-9.230384E-003
2334000;-1.911782E-002;-4.589111E-003;-9.230384E-003
2347000;-1.915305E-002;-4.671454E-003;-9.230384E-003
2360000;-1.917564E-002;-4.792452E-003;-9.230384E-003
2371000;-1.918729E-002;-4.866630E-003;-9.230384E-003
2384000;-1.921846E-002;-4.947424E-003;-9.230384E-003
2396000;-1.925605E-002;-5.050749E-003;-9.230384E-003
2408000;-1.927180E-002;-5.148530E-003;-9.230384E-003
2420000;-1.929180E-002;-5.280674E-003;-9.230384E-003
2433000;-1.930436E-002;-5.402386E-003;-9.230384E-003
2445000;-1.931440E-002;-5.488694E-003;-9.230384E-003
2457000;-1.930352E-002;-5.537480E-003;-9.230384E-003
2470000;-1.927012E-002;-5.651146E-003;-9.230384E-003
2483000;-1.925750E-002;-5.764544E-003;-9.230384E-003
2496000;-1.921510E-002;-5.873352E-003;-9.230384E-003
2508000;-1.916075E-002;-5.986214E-003;-9.230384E-003
2521000;-1.911048E-002;-6.076425E-003;-9.230384E-003
2532000;-1.904148E-002;-6.128997E-003;-9.230384E-003
2545000;-1.889149E-002;-6.188989E-003;-9.230384E-003
2556000;-1.876966E-002;-6.229222E-003;-9.230384E-003
2568000;-1.858095E-002;-6.227493E-003;-9.230384E-003
2579000;-1.836813E-002;-6.234884E-003;-9.230384E-003
2591000;-1.812828E-002;-6.258368E-003;-9.230384E-003
2604000;-1.781136E-002;-6.219774E-003;-9.230384E-003
2616000;-1.747056E-002;-6.077945E-003;-9.230384E-003
2629000;-1.703821E-002;-5.949378E-003;-9.230384E-003
2641000;-1.665046E-002;-5.861998E-003;-9.230384E-003
2654000;-1.629701E-002;-5.764335E-003;-9.230384E-003
2667000;-1.588591E-002;-5.696505E-003;-9.230384E-003
2680000;-1.551305E-002;-5.641609E-003;-9.230384E-003
2692000;-1.521121E-002;-5.596668E-003;-9.230384E-003
2704000;-1.495850E-002;-5.612671E-003;-9.230384E-003
2716000;-1.470373E-002;-5.613834E-003;-9.230384E-003
2728000;-1.448802E-002;-5.571306E-003;-9.230384E-003
2740000;-1.426961E-002;-5.578756E-003;-9.230384E-003
2753000;-1.405732E-002;-5.600870E-003;-9.230384E-003
2766000;-1.390888E-002;-5.607903E-003;-9.230384E-003
2778000;-1.374260E-002;-5.632311E-003;-9.230384E-003
2791000;-1.359553E-002;-5.638301E-003;-9.230384E-003
2804000;-1.343920E-002;-5.643427E-003;-9.230384E-003
2816000;-1.331824E-002;-5.681396E-003;-9.230384E-003
2827000;-1.322908E-002;-5.704820E-003;-9.230384E-003
2840000;-1.314144E-002;-5.738914E-003;-9.230384E-003
2853000;-1.306137E-002;-5.785555E-003;-9.230384E-003
2866000;-1.298447E-002;-5.805850E-003;-9.230384E-003
2878000;-1.291997E-002;-5.858421E-003;-9.230384E-003
2890000;-1.286169E-002;-5.900919E-003;-9.230384E-003
2903000;-1.282503E-002;-5.932897E-003;-9.230384E-003
2915000;-1.278738E-002;-6.047040E-003;-9.230384E-003
2928000;-1.275744E-002;-6.101519E-003;-9.230384E-003
2940000;-1.271243E-002;-6.119996E-003;-9.230384E-003
2951000;-1.267780E-002;-6.150723E-003;-9.230384E-003
2964000;-1.265097E-002;-6.196856E-003;-9.230384E-003
2975000;-1.263743E-002;-6.244034E-003;-9.230384E-003
2988000;-1.259312E-002;-6.298810E-003;-9.230384E-003
3000000;-1.258350E-002;-6.346732E-003;-9.230384E-003
3013000;-1.256013E-002;-6.426126E-003;-9.230384E-003
3025000;-1.253494E-002;-6.470412E-003;-9.230384E-003
3038000;-1.250509E-002;-6.523728E-003;-9.230384E-003
3050000;-1.249346E-002;-6.596535E-003;-9.230384E-003
3062000;-1.246729E-002;-6.670177E-003;-9.230384E-003
3074000;-1.245319E-002;-6.703168E-003;-9.230384E-003
3086000;-1.243044E-002;-6.795317E-003;-9.230384E-003
3098000;-1.242659E-002;-6.879896E-003;-9.230384E-003
3110000;-1.240166E-002;-6.885499E-003;-9.230384E-003
3122000;-1.237134E-002;-6.938726E-003;-9.230384E-003
3135000;-1.233102E-002;-6.975204E-003;-9.230384E-003
3147000;-1.232339E-002;-7.014871E-003;-9.230384E-003
3159000;-1.229272E-002;-7.095248E-003;-9.230384E-003
3172000;-1.227162E-002;-7.141590E-003;-9.230384E-003
3185000;-1.225057E-002;-7.221013E-003;-9.230384E-003
3197000;-1.222298E-002;-7.274747E-003;-9.230384E-003
3210000;-1.219747E-002;-7.322609E-003;-9.230384E-003
3223000;-1.213506E-002;-7.341206E-003;-9.230384E-003
3235000;-1.208521E-002;-7.378161E-003;-9.230384E-003
3247000;-1.206434E-002;-7.488549E-003;-9.230384E-003
3260000;-1.201617E-002;-7.586300E-003;-9.230384E-003
3273000;-1.196839E-002;-7.614166E-003;-9.230384E-003
