Timestamp;s;distance;thetab
2000;1.844980E-001;1.996457E-001;1.279980E-003
15000;1.844980E-001;1.996457E-001;1.302063E-003
26000;1.844980E-001;1.996457E-001;1.294494E-003
38000;1.844980E-001;1.996457E-001;1.288205E-003
50000;1.844980E-001;1.996457E-001;1.270086E-003
62000;1.844980E-001;1.996457E-001;1.261413E-003
75000;1.844980E-001;1.996457E-001;1.267135E-003
87000;1.844980E-001;1.996457E-001;1.217216E-003
99000;1.844811E-001;1.996457E-001;1.236409E-003
112000;1.844811E-001;1.996457E-001;1.244783E-003
124000;1.844811E-001;1.996457E-001;1.233190E-003
136000;1.844811E-001;1.996457E-001;1.250237E-003
149000;1.844811E-001;1.996457E-001;1.230747E-003
161000;1.844811E-001;1.996457E-001;1.234323E-003
174000;1.844811E-001;1.996457E-001;1.179665E-003
187000;1.844811E-001;1.996457E-001;1.153052E-003
200000;1.844811E-001;1.996457E-001;1.161695E-003
213000;1.844811E-001;1.996457E-001;1.167268E-003
225000;1.844643E-001;1.996457E-001;1.161158E-003
237000;1.844811E-001;1.996457E-001;1.131356E-003
250000;1.844811E-001;1.996457E-001;1.145989E-003
262000;1.844811E-001;1.996457E-001;1.149416E-003
274000;1.844811E-001;1.996457E-001;1.116544E-003
286000;1.844811E-001;1.996457E-001;1.098871E-003
299000;1.844811E-001;1.996457E-001;1.068592E-003
310000;1.844811E-001;1.996457E-001;1.045406E-003
322000;1.844643E-001;1.996457E-001;1.035273E-003
333000;1.844643E-001;1.996457E-001;1.024514E-003
346000;1.844643E-001;1.996457E-001;9.954870E-004
359000;1.844643E-001;1.996457E-001;1.011729E-003
372000;1.844474E-001;1.996457E-001;1.000196E-003
385000;1.844305E-001;1.996457E-001;9.960234E-004
397000;1.844474E-001;1.996457E-001;9.901524E-004
409000;1.844305E-001;1.996457E-001;9.568036E-004
422000;1.844474E-001;1.996457E-001;9.361207E-004
434000;1.844474E-001;1.996457E-001;9.435117E-004
446000;1.844474E-001;1.996457E-001;9.529293E-004
459000;1.844305E-001;1.996457E-001;9.465516E-004
472000;1.844136E-001;1.996457E-001;9.275973E-004
484000;1.844136E-001;1.996457E-001;9.378791E-004
497000;1.844305E-001;1.996457E-001;9.506345E-004
508000;1.844305E-001;1.996457E-001;9.217858E-004
520000;1.844305E-001;1.996457E-001;8.712411E-004
534000;1.844136E-001;1.996457E-001;8.170307E-004
546000;1.843968E-001;1.996457E-001;7.831454E-004
559000;1.843968E-001;1.996457E-001;8.084178E-004
572000;1.843968E-001;1.996457E-001;7.701218E-004
585000;1.843799E-001;1.996457E-001;7.735193E-004
597000;1.843799E-001;1.996457E-001;8.096397E-004
609000;1.843799E-001;1.996457E-001;8.302331E-004
622000;1.843799E-001;1.996457E-001;8.140802E-004
635000;1.843799E-001;1.996457E-001;7.887483E-004
647000;1.843799E-001;1.996457E-001;8.010864E-004
660000;1.843799E-001;1.996457E-001;7.952154E-004
671000;1.843630E-001;1.996457E-001;7.898808E-004
683000;1.843630E-001;1.996457E-001;7.756650E-004
696000;1.843630E-001;1.996457E-001;7.198751E-004
709000;1.843630E-001;1.996457E-001;6.888509E-004
722000;1.843630E-001;1.996457E-001;6.475449E-004
734000;1.843630E-001;1.996457E-001;6.394684E-004
747000;1.843461E-001;1.996457E-001;6.162226E-004
760000;1.843461E-001;1.996457E-001;5.710721E-004
772000;1.843461E-001;1.996457E-001;4.965663E-004
784000;1.843461E-001;1.996457E-001;4.734099E-004
797000;1.843293E-001;1.996457E-001;4.890561E-004
810000;1.843293E-001;1.996457E-001;4.780591E-004
822000;1.843293E-001;1.996457E-001;4.534721E-004
834000;1.843293E-001;1.996457E-001;4.413128E-004
846000;1.843124E-001;1.996457E-001;4.203618E-004
859000;1.843293E-001;1.996457E-001;4.050732E-004
872000;1.842955E-001;1.996457E-001;3.719032E-004
884000;1.842955E-001;1.996457E-001;3.539026E-004
897000;1.842955E-001;1.996457E-001;3.529787E-004
909000;1.842955E-001;1.996457E-001;3.590286E-004
921000;1.842955E-001;1.996457E-001;3.185868E-004
933000;1.842786E-001;1.996457E-001;2.765357E-004
945000;1.842618E-001;1.996457E-001;2.519190E-004
957000;1.842618E-001;1.996457E-001;2.320707E-004
968000;1.842618E-001;1.996457E-001;2.511740E-004
980000;1.842618E-001;1.996457E-001;2.226233E-004
992000;1.842618E-001;1.996457E-001;1.958609E-004
1005000;1.842449E-001;1.996457E-001;1.687109E-004
1016000;1.842280E-001;1.996457E-001;1.473725E-004
1028000;1.842280E-001;1.996457E-001;1.295507E-004
1039000;1.842111E-001;1.996457E-001;1.093745E-004
1051000;1.842111E-001;1.996457E-001;1.035631E-004
1064000;1.841943E-001;1.996457E-001;5.877018E-005
1076000;1.841774E-001;1.996457E-001;2.670288E-005
1089000;1.841605E-001;1.996457E-001;1.022220E-005
1100000;1.841605E-001;1.996457E-001;2.035499E-005
1112000;1.841605E-001;1.996457E-001;1.776218E-005
1124000;1.841436E-001;1.996457E-001;-9.506941E-006
1135000;1.841436E-001;1.996457E-001;-6.315112E-005
1148000;1.841268E-001;1.996457E-001;-4.595518E-005
1160000;1.841268E-001;1.996457E-001;-3.868341E-005
1173000;1.840761E-001;1.996457E-001;-6.029010E-005
1185000;1.840761E-001;1.996457E-001;-4.288554E-005
1198000;1.840593E-001;1.996457E-001;7.688999E-006
1211000;1.840424E-001;1.996457E-001;4.240870E-005
1223000;1.840424E-001;1.996457E-001;4.699826E-005
1235000;1.840255E-001;1.996457E-001;4.652143E-005
1247000;1.840087E-001;1.996457E-001;6.085634E-005
1259000;1.839918E-001;1.996457E-001;9.003282E-005
1272000;1.839918E-001;1.996457E-001;1.347363E-004
1284000;1.839749E-001;1.996457E-001;1.460314E-004
1296000;1.839580E-001;1.996457E-001;1.815856E-004
1308000;1.839580E-001;1.996457E-001;2.099872E-004
1321000;1.839580E-001;1.996457E-001;2.387464E-004
1334000;1.839412E-001;1.996457E-001;2.436936E-004
1346000;1.839243E-001;1.996457E-001;2.638400E-004
1359000;1.839074E-001;1.996457E-001;2.821386E-004
1371000;1.838905E-001;1.996457E-001;2.847612E-004
1383000;1.838737E-001;1.996457E-001;3.179610E-004
1396000;1.838905E-001;1.996457E-001;3.509820E-004
1408000;1.838737E-001;1.996457E-001;3.831685E-004
1420000;1.838737E-001;1.996457E-001;3.676414E-004
1432000;1.838737E-001;1.996457E-001;3.282726E-004
1444000;1.838399E-001;1.996457E-001;3.451109E-004
1457000;1.838399E-001;1.996457E-001;4.020929E-004
1470000;1.838399E-001;1.996457E-001;4.436076E-004
1482000;1.838230E-001;1.996457E-001;4.660487E-004
1494000;1.838230E-001;1.996457E-001;5.424023E-004
1507000;1.838062E-001;1.996457E-001;5.768538E-004
1519000;1.838062E-001;1.996457E-001;5.966127E-004
1532000;1.838230E-001;1.996457E-001;6.225705E-004
1544000;1.838062E-001;1.996457E-001;6.137490E-004
1556000;1.837893E-001;1.996457E-001;6.312132E-004
1568000;1.837893E-001;1.996457E-001;6.783605E-004
1580000;1.837893E-001;1.996457E-001;6.700158E-004
1592000;1.837893E-001;1.996457E-001;6.917119E-004
1604000;1.837724E-001;1.996457E-001;7.435083E-004
1616000;1.837724E-001;1.996457E-001;7.508099E-004
1628000;1.837555E-001;1.996457E-001;7.925928E-004
1640000;1.837724E-001;1.996457E-001;8.336008E-004
1653000;1.837724E-001;1.996457E-001;8.730888E-004
1665000;1.837555E-001;1.996457E-001;8.854270E-004
1677000;1.837555E-001;1.996457E-001;8.961856E-004
1690000;1.837724E-001;1.996457E-001;9.635091E-004
1702000;1.837555E-001;1.996457E-001;1.011878E-003
1714000;1.837555E-001;1.996457E-001;1.061201E-003
1726000;1.837555E-001;1.996457E-001;1.077622E-003
1739000;1.837555E-001;1.996457E-001;1.097351E-003
1751000;1.837555E-001;1.996457E-001;1.142383E-003
1765000;1.837555E-001;1.996457E-001;1.170576E-003
1777000;1.837555E-001;1.996457E-001;1.212180E-003
1789000;1.837555E-001;1.996457E-001;1.245558E-003
1801000;1.837555E-001;1.996457E-001;1.253128E-003
1814000;1.837555E-001;1.996457E-001;1.275450E-003
1826000;1.837555E-001;1.996457E-001;1.279712E-003
1839000;1.837387E-001;1.996457E-001;1.277834E-003
1852000;1.837555E-001;1.996457E-001;1.262158E-003
1864000;1.837555E-001;1.996457E-001;1.259506E-003
1877000;1.837555E-001;1.996457E-001;1.253873E-003
1889000;1.837387E-001;1.996457E-001;1.279235E-003
1901000;1.837387E-001;1.996457E-001;1.271576E-003
1915000;1.837555E-001;1.996457E-001;1.282543E-003
1927000;1.837555E-001;1.996457E-001;1.280278E-003
1939000;1.837555E-001;1.996457E-001;1.288205E-003
1951000;1.837555E-001;1.996457E-001;1.256585E-003
1963000;1.837387E-001;1.996457E-001;1.258761E-003
1976000;1.837387E-001;1.996457E-001;1.227260E-003
1988000;1.837387E-001;1.996457E-001;1.235157E-003
2000000;1.837387E-001;1.996457E-001;1.218498E-003
2012000;1.837387E-001;1.996457E-001;1.181692E-003
2025000;1.837387E-001;1.996457E-001;1.175433E-003
2037000;1.837387E-001;1.996457E-001;1.173228E-003
2049000;1.837387E-001;1.996457E-001;1.162618E-003
2061000;1.837218E-001;1.996457E-001;1.158535E-003
2073000;1.837218E-001;1.996457E-001;1.181751E-003
