Timestamp;torque;torque
30000;-1.812551E+001;-2.079516E+001
45000;-2.121668E+001;-2.093567E+001
61000;-1.714195E+001;-2.079516E+001
77000;-1.742297E+001;-2.065465E+001
93000;-1.826602E+001;-2.149770E+001
109000;-1.770399E+001;-2.135719E+001
125000;-2.177871E+001;-2.121668E+001
140000;-1.967109E+001;-2.121668E+001
156000;-1.967109E+001;-2.121668E+001
171000;-1.967109E+001;-2.332430E+001
187000;-1.939008E+001;-2.093567E+001
202000;-1.924957E+001;-2.093567E+001
217000;-1.910906E+001;-2.191922E+001
233000;-1.939008E+001;-2.121668E+001
249000;-1.967109E+001;-2.332430E+001
264000;-1.967109E+001;-2.290277E+001
280000;-1.939008E+001;-2.135719E+001
295000;-1.939008E+001;-2.121668E+001
311000;-1.953059E+001;-2.107617E+001
327000;-1.939008E+001;-2.107617E+001
342000;-2.065465E+001;-2.304328E+001
357000;-1.910906E+001;-2.304328E+001
372000;-1.854703E+001;-2.135719E+001
388000;-1.784449E+001;-2.093567E+001
403000;-1.953059E+001;-2.121668E+001
419000;-1.910906E+001;-2.332430E+001
435000;-1.939008E+001;-2.318379E+001
451000;-1.939008E+001;-2.318379E+001
467000;-1.924957E+001;-2.079516E+001
482000;-1.882805E+001;-2.107617E+001
497000;-1.953059E+001;-2.093567E+001
513000;-1.924957E+001;-2.107617E+001
529000;-1.939008E+001;-2.079516E+001
544000;-1.967109E+001;-2.079516E+001
559000;-1.967109E+001;-2.093567E+001
574000;-1.826602E+001;-2.065465E+001
590000;-1.910906E+001;-2.135719E+001
605000;-1.967109E+001;-2.121668E+001
621000;-1.910906E+001;-2.093567E+001
637000;-1.910906E+001;-2.121668E+001
652000;-1.924957E+001;-2.079516E+001
668000;-1.910906E+001;-2.107617E+001
684000;-1.882805E+001;-2.149770E+001
700000;-1.939008E+001;-2.360531E+001
716000;-1.924957E+001;-2.107617E+001
731000;-1.896856E+001;-2.107617E+001
746000;-1.896856E+001;-2.079516E+001
762000;-1.910906E+001;-2.177871E+001
778000;-1.910906E+001;-2.135719E+001
793000;-1.939008E+001;-2.135719E+001
809000;-1.967109E+001;-2.121668E+001
824000;-1.882805E+001;-2.121668E+001
839000;-1.981160E+001;-2.290277E+001
854000;-1.967109E+001;-2.290277E+001
869000;-1.967109E+001;-2.318379E+001
885000;-1.910906E+001;-2.135719E+001
901000;-1.967109E+001;-2.093567E+001
916000;-1.896856E+001;-2.093567E+001
932000;-1.910906E+001;-2.121668E+001
948000;-1.910906E+001;-2.107617E+001
963000;-1.896856E+001;-2.107617E+001
979000;-1.910906E+001;-2.121668E+001
994000;-1.910906E+001;-2.107617E+001
1009000;-1.910906E+001;-2.107617E+001
1025000;-1.967109E+001;-2.107617E+001
1041000;-1.967109E+001;-2.332430E+001
1057000;-1.953059E+001;-2.332430E+001
1073000;-1.896856E+001;-2.318379E+001
1089000;-1.967109E+001;-2.332430E+001
1105000;-1.967109E+001;-2.332430E+001
1121000;-1.812551E+001;-2.121668E+001
1136000;-1.939008E+001;-2.332430E+001
1152000;-1.924957E+001;-2.135719E+001
1168000;-1.953059E+001;-2.093567E+001
1183000;-1.995211E+001;-2.163820E+001
1198000;-1.953059E+001;-2.135719E+001
1214000;-1.939008E+001;-2.121668E+001
1229000;-1.924957E+001;-2.332430E+001
1245000;-1.910906E+001;-2.093567E+001
1260000;-1.924957E+001;-2.135719E+001
1275000;-1.910906E+001;-2.107617E+001
1291000;-1.910906E+001;-2.107617E+001
1307000;-1.939008E+001;-2.121668E+001
1323000;-1.967109E+001;-2.093567E+001
1338000;-1.967109E+001;-2.079516E+001
1354000;-1.939008E+001;-2.332430E+001
1369000;-2.009262E+001;-2.065465E+001
1385000;-1.924957E+001;-2.079516E+001
1401000;-1.939008E+001;-2.079516E+001
1417000;-1.953059E+001;-2.065465E+001
1432000;-2.177871E+001;-2.163820E+001
1447000;-1.939008E+001;-2.135719E+001
1463000;-1.967109E+001;-2.149770E+001
1479000;-1.910906E+001;-2.374582E+001
1494000;-1.910906E+001;-2.121668E+001
1510000;-1.882805E+001;-2.360531E+001
1525000;-2.093567E+001;-2.121668E+001
1540000;-1.742297E+001;-2.121668E+001
1556000;-1.882805E+001;-2.304328E+001
1572000;-1.896856E+001;-2.332430E+001
1587000;-1.896856E+001;-2.304328E+001
1602000;-1.910906E+001;-2.135719E+001
1617000;-1.981160E+001;-2.135719E+001
1632000;-1.967109E+001;-2.121668E+001
1648000;-1.967109E+001;-2.135719E+001
1663000;-1.967109E+001;-2.121668E+001
1678000;-1.939008E+001;-2.135719E+001
1694000;-1.882805E+001;-2.121668E+001
1710000;-1.882805E+001;-2.163820E+001
1726000;-1.924957E+001;-2.360531E+001
1741000;-1.924957E+001;-2.135719E+001
1756000;-1.910906E+001;-2.093567E+001
1772000;-1.910906E+001;-2.093567E+001
1787000;-2.149770E+001;-2.107617E+001
1802000;-2.220024E+001;-2.107617E+001
1818000;-1.924957E+001;-2.135719E+001
1834000;-1.742297E+001;-2.093567E+001
1850000;-1.840652E+001;-2.107617E+001
1865000;-1.882805E+001;-2.079516E+001
1880000;-2.051414E+001;-2.093567E+001
1896000;-1.953059E+001;-2.135719E+001
1911000;-1.939008E+001;-2.121668E+001
1926000;-1.840652E+001;-2.107617E+001
1942000;-1.812551E+001;-2.079516E+001
1958000;-1.854703E+001;-2.135719E+001
1973000;-1.967109E+001;-2.121668E+001
1989000;-1.967109E+001;-2.107617E+001
2005000;-1.939008E+001;-2.135719E+001
2020000;-1.939008E+001;-2.093567E+001
2035000;-1.967109E+001;-2.360531E+001
2051000;-1.967109E+001;-2.346481E+001
2067000;-1.953059E+001;-2.093567E+001
2083000;-1.967109E+001;-2.332430E+001
2099000;-1.967109E+001;-2.360531E+001
2115000;-1.924957E+001;-2.135719E+001
2131000;-1.967109E+001;-2.135719E+001
2146000;-1.967109E+001;-2.121668E+001
2162000;-1.953059E+001;-2.135719E+001
2178000;-1.953059E+001;-2.135719E+001
2193000;-1.714195E+001;-2.332430E+001
2209000;-1.967109E+001;-2.304328E+001
2225000;-1.939008E+001;-2.135719E+001
2241000;-1.953059E+001;-2.360531E+001
2257000;-1.924957E+001;-2.332430E+001
2273000;-1.924957E+001;-2.332430E+001
2289000;-1.840652E+001;-2.135719E+001
2305000;-1.953059E+001;-2.079516E+001
2321000;-1.770399E+001;-2.107617E+001
2337000;-1.910906E+001;-2.135719E+001
2353000;-1.924957E+001;-2.121668E+001
2369000;-1.924957E+001;-2.079516E+001
2384000;-1.981160E+001;-2.107617E+001
2400000;-1.939008E+001;-2.135719E+001
2415000;-1.939008E+001;-2.149770E+001
2431000;-1.939008E+001;-2.332430E+001
2448000;-1.967109E+001;-2.079516E+001
2466000;-1.953059E+001;-2.093567E+001
2484000;-1.910906E+001;-2.107617E+001
2502000;-1.910906E+001;-2.107617E+001
2521000;-1.953059E+001;-2.107617E+001
2532000;-1.924957E+001;-2.093567E+001
2544000;-1.910906E+001;-2.093567E+001
2555000;-1.910906E+001;-2.093567E+001
2568000;-1.910906E+001;-2.135719E+001
2579000;-1.939008E+001;-2.135719E+001
2591000;-1.910906E+001;-2.121668E+001
2602000;-1.812551E+001;-2.135719E+001
2614000;-1.812551E+001;-2.135719E+001
