Timestamp;roll;phi4_rad;phi4_rad
0;-4.260676E-003;4.391909E-001;2.140931E-001
12000;-4.262501E-003;4.391909E-001;2.140931E-001
32000;-4.282397E-003;4.391909E-001;2.140931E-001
45000;-4.309691E-003;4.391909E-001;2.140931E-001
58000;-4.310954E-003;4.391909E-001;2.140931E-001
70000;-4.324246E-003;4.391909E-001;2.140931E-001
83000;-4.332152E-003;4.391909E-001;2.140931E-001
95000;-4.343933E-003;4.391909E-001;2.140931E-001
107000;-4.341077E-003;4.391909E-001;2.140931E-001
121000;-4.326703E-003;4.391909E-001;2.140931E-001
134000;-4.329263E-003;4.391909E-001;2.140931E-001
145000;-4.340893E-003;4.391909E-001;2.140931E-001
157000;-4.363762E-003;4.391909E-001;2.140931E-001
170000;-4.366993E-003;4.391909E-001;2.140931E-001
182000;-4.369892E-003;4.391909E-001;2.140931E-001
194000;-4.375613E-003;4.391909E-001;2.140931E-001
206000;-4.397802E-003;4.391909E-001;2.140931E-001
218000;-4.378648E-003;4.391909E-001;2.140931E-001
230000;-4.370838E-003;4.391909E-001;2.140931E-001
242000;-4.372472E-003;4.391909E-001;2.140931E-001
254000;-4.360972E-003;4.391909E-001;2.140931E-001
266000;-4.352382E-003;4.391909E-001;2.140931E-001
278000;-4.341547E-003;4.391909E-001;2.140931E-001
291000;-4.343817E-003;4.391909E-001;2.140931E-001
303000;-4.371187E-003;4.391909E-001;2.140931E-001
315000;-4.379132E-003;4.391909E-001;2.140931E-001
328000;-4.389437E-003;4.391909E-001;2.140931E-001
340000;-4.384086E-003;4.391909E-001;2.140931E-001
352000;-4.402942E-003;4.391909E-001;2.140931E-001
364000;-4.413433E-003;4.391909E-001;2.140931E-001
377000;-4.416272E-003;4.391909E-001;2.140931E-001
389000;-4.435162E-003;4.391909E-001;2.140931E-001
401000;-4.434006E-003;4.391909E-001;2.140931E-001
413000;-4.418748E-003;4.391909E-001;2.140931E-001
425000;-4.408036E-003;4.391909E-001;2.140931E-001
438000;-4.411061E-003;4.391909E-001;2.140931E-001
451000;-4.416849E-003;4.391909E-001;2.140931E-001
463000;-4.413444E-003;4.391909E-001;2.140931E-001
475000;-4.413678E-003;4.391909E-001;2.140931E-001
487000;-4.410019E-003;4.391909E-001;2.140931E-001
500000;-4.418527E-003;4.391909E-001;2.140931E-001
512000;-4.402814E-003;4.391909E-001;2.140931E-001
524000;-4.425919E-003;4.391909E-001;2.140931E-001
537000;-4.432049E-003;4.391909E-001;2.140931E-001
550000;-4.439966E-003;4.391909E-001;2.140931E-001
562000;-4.442545E-003;4.391909E-001;2.140931E-001
575000;-4.422654E-003;4.391909E-001;2.140931E-001
587000;-4.440890E-003;4.391909E-001;2.140931E-001
599000;-4.439542E-003;4.391909E-001;2.140931E-001
612000;-4.446705E-003;4.391909E-001;2.140931E-001
625000;-4.452528E-003;4.391909E-001;2.140931E-001
638000;-4.453407E-003;4.391909E-001;2.140931E-001
651000;-4.447047E-003;4.391909E-001;2.140931E-001
663000;-4.460870E-003;4.391909E-001;2.140931E-001
675000;-4.470123E-003;4.391909E-001;2.140931E-001
688000;-4.481057E-003;4.391909E-001;2.140931E-001
701000;-4.469452E-003;4.391909E-001;2.140931E-001
713000;-4.466936E-003;4.391909E-001;2.140931E-001
726000;-4.453462E-003;4.391909E-001;2.140931E-001
738000;-4.449711E-003;4.391909E-001;2.140931E-001
