Timestamp;target;measure
3000;3.454845E-001;-1.433387E-003
15000;3.454845E-001;-1.433387E-003
26000;3.454845E-001;-1.433387E-003
38000;3.454845E-001;-1.433387E-003
49000;3.454845E-001;-1.433387E-003
61000;3.454845E-001;-1.433387E-003
72000;3.454845E-001;-1.433387E-003
83000;3.454845E-001;-1.433387E-003
95000;3.454845E-001;-1.433387E-003
106000;3.454845E-001;-1.433387E-003
118000;3.454845E-001;-1.433387E-003
130000;3.454845E-001;-1.433387E-003
141000;3.454845E-001;-1.433387E-003
153000;3.454845E-001;-1.433387E-003
164000;3.454845E-001;-1.433387E-003
176000;3.454845E-001;-1.433387E-003
188000;3.454845E-001;-1.433387E-003
200000;3.454845E-001;-1.433387E-003
212000;3.454845E-001;-1.433387E-003
225000;3.454845E-001;-1.433387E-003
236000;3.454845E-001;-1.433387E-003
248000;3.454845E-001;-1.433387E-003
260000;3.454845E-001;-1.433387E-003
271000;3.454845E-001;-1.433387E-003
282000;3.454845E-001;-1.433387E-003
294000;3.454845E-001;-1.433387E-003
308000;3.454845E-001;-1.433387E-003
319000;3.454845E-001;-1.433387E-003
331000;3.454845E-001;-1.433387E-003
343000;3.454845E-001;-1.433387E-003
354000;3.454845E-001;-1.433387E-003
365000;3.454845E-001;-1.433387E-003
377000;3.454845E-001;-1.433387E-003
389000;3.454845E-001;-1.433387E-003
400000;3.454845E-001;-1.433387E-003
412000;3.454845E-001;-1.433387E-003
423000;3.454845E-001;-1.433387E-003
434000;3.454845E-001;-1.433387E-003
445000;3.454845E-001;-1.433387E-003
457000;3.454845E-001;-1.433387E-003
469000;3.454845E-001;-1.433387E-003
481000;3.454845E-001;-1.433387E-003
492000;3.454845E-001;-1.433387E-003
503000;3.454845E-001;-1.433387E-003
515000;3.454845E-001;-1.433387E-003
526000;3.454845E-001;-1.433387E-003
538000;3.454845E-001;-1.433387E-003
549000;3.454845E-001;-1.433387E-003
561000;3.454845E-001;-1.433387E-003
572000;3.454845E-001;-1.433387E-003
584000;3.454845E-001;-1.433387E-003
596000;3.454845E-001;-1.433387E-003
608000;3.454845E-001;-1.433387E-003
619000;3.454845E-001;-1.433387E-003
631000;3.454845E-001;-1.433387E-003
643000;3.454845E-001;-1.433387E-003
655000;3.454845E-001;-1.433387E-003
666000;3.454845E-001;-1.433387E-003
677000;3.454845E-001;-1.433387E-003
689000;3.454845E-001;-1.433387E-003
701000;3.454845E-001;-1.433387E-003
713000;3.454845E-001;-1.433387E-003
723000;3.454845E-001;-1.433387E-003
735000;3.454845E-001;-1.433387E-003
747000;3.454845E-001;-1.433387E-003
759000;3.454845E-001;-1.433387E-003
771000;3.454845E-001;-1.433387E-003
783000;3.454845E-001;-1.433387E-003
794000;3.454845E-001;-1.433387E-003
806000;3.454845E-001;-1.433387E-003
818000;3.454845E-001;-1.433387E-003
830000;3.454845E-001;-1.433387E-003
841000;3.454845E-001;-1.433387E-003
852000;3.454845E-001;-1.433387E-003
864000;3.454845E-001;-1.433387E-003
876000;3.454845E-001;-1.433387E-003
889000;3.454845E-001;-1.433387E-003
901000;3.454845E-001;-1.433387E-003
912000;3.454845E-001;-1.433387E-003
924000;3.454845E-001;-1.433387E-003
935000;3.454845E-001;-1.433387E-003
946000;3.454845E-001;-1.433387E-003
957000;3.454845E-001;-1.433387E-003
968000;3.454845E-001;-1.433387E-003
980000;3.454845E-001;-1.433387E-003
992000;3.454845E-001;-1.433387E-003
1003000;3.454845E-001;-1.433387E-003
1015000;3.454845E-001;-1.433387E-003
1027000;3.454845E-001;-1.433387E-003
1039000;3.454845E-001;-1.433387E-003
1051000;3.454845E-001;-1.433387E-003
1063000;3.454845E-001;-1.433387E-003
1075000;3.454845E-001;-1.433387E-003
1087000;3.454845E-001;-1.433387E-003
1099000;3.454845E-001;-1.433387E-003
